number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
1814,A Combat Reconnaissance Robot,"The Invention Provides A Combat Reconnaissance Robot, Which Includes An Unmanned Aerial Vehicle, A Towing Rope, A Towing Net, And A Combat Robot. The Characteristic Is That The Towing Net Is Woven From Flexible Fiber Ropes, And A Towing Rope Is Arranged Around The Towing Net. , The Upper End Of Each Towing Rope Is Connected To The Bottom Of The Frame Of A Drone, And A Combat Robot Is Placed On The Towing Net; The Combat Robot Can Be Carried In The Air By Setting Up The Drone And The Towing Net, And The Combat Robot Can Use The Anesthesia Gun To Attack The Enemy. The Soldiers On The Side Are Anesthetized And Will Not Harm The Other¡¯S Life, And The Combat Robot Can Also Bring The Enemy Soldiers Back To The Drag Net.","Zhejiang Huarong Aviation Equipment Co., Ltd.",CN107702595B,2019/9/10 0:00,CN201710807305.7,2017/9/8 0:00,F41H7/00,F41H7/00; B64C39/02
1841,Method And System For Portable Wireless Fire Control Equipment To Realize Rapid Equipment Control Of Space-Based Weapons,"The Invention Discloses A Method And A System For Realizing Rapid Equipment Control Of An Air-Based Weapon By A Portable Wireless Fire Control Device. The Method Relates To A Portable Wireless Fire Control Device And An Air-Based Weapon. Among Them, Portable Wireless Fire Control Equipment Includes Wireless Communication Modules, Display Screens, Buttons, Etc. In The Method, The Weapon And The Carrier Transmit Information Through The Wireless Communication Module. The Information Includes The Weapon Status And Related Instructions. The Display Screen Can Display The Weapon Status, Fire Control Information, Etc., And The Pilot Sends Instructions To The Weapon Through The Button Control. Activate A Series Of Operations Such As Thermal Battery And Fuze Control. The Invention Can Adapt The Weapon To Mount Different Carrier Aircraft Without Any Modification Of The Carrier Aircraft, Greatly Improve The Compatibility Of The Weapon And The Carrier Aircraft, Without Modification Cost, And Strong Operability. The Invention Has Low Requirements On The Type Of The Carrier Aircraft, Simple Operation, Can Quickly Realize The Equipment Use Of The Weapon, Improves The Adaptability Of The Weapon To The Carrier Aircraft, And Broadens The Market Application Of The Weapon.","Beijing Aerospace Feiteng Equipment Technology Co., Ltd.",CN108955397A,2018/12/7 0:00,CN201810807124.9,2018/7/18 0:00,F41H13/00,F41H13/00
1912,"Airborne Fire Support Device For Tactical Airlifter In Aircraft, Has Nacelle Including Gun And Turret Movable In Azimuth And Elevation, And Fire Control System Providing Complete Autonomous Aerial Cover To Deployed Troops In Combat Zone","The Invention Relates To A Device Making It Possible To Gather, In Only One Nacelle, A Turret Equipped With A Clearance In Azimuth And Site; Equipped With A Gun With Average Gauge, Or Grenade Thrower, Heavy Machine Guns, Or Of A Mixing Of These Means; As Well As The Ammunition Supply Of This Armament; And Finally Fire Control System Comprising The Device Of Pointing Optronic, A Laser Rangefinder And A Navigation System Assisted By Satellites. This Nacelle Is Equipped With Hooks Which Make It Possible To Fix It With The Pylons Of Carrying Of External Loads Of A Tactical Transport Aircraft, To The Manner Of The Auxiliary Tanks Of Fuel Usually Assembled On This Type Of Aircraft. It Makes It Possible To Adapt, Simply And Without Structural Modification, A Tactical Transport Aircraft To The Missions Of Fire Support Of The Troops On The Ground, And To Thus Offer A Consequent Aerial Cover To The Operations Of Too Low Intensity To Justify The Deployment Of Fighters. This Device Can Be Easily Posed And Deposited Pylon Of Carrying Of External Loads Of The Aircraft By Means Of Adequate Fixings. Implementation Of The Gun And The System The Optronic Of Designation Of Objective Is Done Since The Cockpit Of The Plane, By The Means Of The Electrical Circuits Of The Already Existing Aircraft. The Device According To The Invention Is Particularly Intended For The Airborne Fire Support Of Troops Deployed In Zones Of Combat.",GAILLARD PATRICK DIDIER,FR2981635A1,2013/4/26 0:00,FR11003243,2011/10/24 0:00,B64D7/06,B64D7/06;F41A23/24
1922,Multimode Unmanned Aerial Vehicle,"Problem To Be Solved: To Provide An Attack System By An Unmanned Aerial Vehicle (Uav) To A Ground Target.
    Solution: A Uav 410 May Be In A Racetrack Of A Circle (I.E. Rotation About A Ground Point Or A Positional Target) Or Other Flight Pattern 420 As A Part Of A Target Search Mode, Reconnaissance Mode, Surveillance Mode, Investigation Mode And/Or Other Observation Mode. Seeker Processing, Together With Guidance Processing And/Or An Uplink From A Command Node, E.G. A Ground Command Node 450, May Place The Uav 410 Into A Terminal Homing Strike Mode 430. The Uav 410 Then May Home On A Ground Target 440, E.G., A Ground Vehicle, In An Effort To Get Close Enough To Effectively Deploy A Payload, Such As Detonating A Warhead, Dropping A Beacon, Or Dispensing A Pigment, And/Or Effect A Collision With A Target.
    Selected Drawing: Figure 4
    Copyright: (C)2018,Jpo&Inpit",AEROVIRONMENT,JP2017187278A,2017/10/12 0:00,JP2017120970,2017/6/21 0:00,F41G7/22,F41G7/22;B64C13/18;B64C13/20
1925,"Reconnaissance Position Calculating Device, Reconnaissance Position Calculation Method And Reconnaissance Position Calculation Program","An Aircraft (10) Includes A Memory (15),  And A Controller (18). The Memory (15) Stores Map Data (155) Including At Least A Predetermined Surveillance Target Region (Ra). The Controller (18) Divides The Map Data (155) Stored In The Memory (15) Into A Plurality Of Cells (C) In A Grid On A Horizontal Plane. The Controller (18) Determines An Los Score P For Each Of Candidate Cells (Ca) Among The Cells (C) Excluding Surveillance Target Cells (Rc) Included At Least In The Surveillance Target Region (Ra). The Los Score P Is Obtained By Quantitatively Evaluating Easiness Of Viewing From Aircraft (10) And Difficulty Of Being Viewed From A Surveillance Target. The Controller (18) Sets Surveillance Positions (Sp) On A Basis Of The Los Score P Of Each Candidate Cell (Ca).",Subaru Corporation,JP6200539B1,2017/9/20 0:00,JP2016059769,2016/3/24 0:00,F41H13/00,F41H13/00; B64D47/00; F41H11/00; G08G5/00
1934,Ammunition Supply Trailer For Fighter,"The Present Invention Relates To A Fighter Plane Ammunition Supply Trailer Capable Of Preventing A Safety Accident Of A Worker As A Live Ammunition Supply Head Is Quickly And Stably Combined With A Fighter Plane Through A Lifting Means Equipped In An Ammunition Supply Trailer When The Fighter Plane Is Loaded With Live Ammunition. Moreover,  The Fighter Plane Ammunition Supply Trailer Comprises :  A Cylindrical Live Ammunition Storage Drum Wherein Live Ammunition Is Stored;  A Flexible Duct With A Predetermined Length Equipped To Circulate A Carrying Chain Carrying Live Ammunition;  An Ammunition Supply Head To Collect An Empty Cartridge Case,  And To Be Loaded With Live Ammunition At The Same Time;  A Live Ammunition Supply Device And A Cartridge Case Collect Device To Supply Live Ammunition Stored In The Live Ammunition Storage Drum,  And To Store A Collected Cartridge Case In The Live Ammunition Storage Drum;  A Boom Formed To Be Stepped So As To Be Variable In A Longitudinal Direction;  And A Lifting Means To Lift The Live Ammunition Supply Head.Copyright Kipo 2015",TESS CO LTD,KR101529113B1,2015/6/10 0:00,KR1020150039993,2015/3/23 0:00,F41A9/87,F41A9/87; F41A9/82; F41A23/26
1941,High Mobility-Space Threat Target Processing System Of Next Generation Naval Compat System,Disclosed Is A High-Mobility Space Threat Target Processing System Of A Battle System For A Next-Generation Naval Vessel. The High-Mobility Space Threat Target Processing System Of A Battle System For A Next-Generation Naval Vessel Comprises: A Multi-Function Radar (Mfr) Sensor To Generate Detection Information; And A High-Mobility Space Threat Target Alarm Module To Output An Alarm For A Threat Target In The Detection Information Generated By The Mfr Sensor. The High-Mobility Space Threat Target Alarm Module Is Configured To Output An Alarm For A Threat Target Received From A Friendly Naval Vessel Through A Data Link. The High-Mobility Space Threat Target Processing System Of A Battle System For A Next-Generation Naval Vessel Analyzes The High Mobility And Altitude Of A Raw Target First For A High-Mobility Space Threat Target Such As A Ballistic Missile Without Using A General Tactic Target Calculation Algorithm To Pre-Classify The High-Mobility Space Threat Target To Quickly Recognize And Respond To The Ballistic Missile.,HANWHA SYSTEMS CO LTD,KR102131718B1,2020/7/8 0:00,KR1020200045824,2020/4/16 0:00,B63G13/00,B63G13/00;F41H11/00;G01S13/88
1942,System Of Ship To Air Missile At Salvo Mode For Next Generation Naval Ship,"Disclosed Is A Ship-To-Air Missile Salvo System For A Next-Generation Naval Ship. The Ship-To-Air Missile Salvo System For A Next-Generation Naval Ship Comprises: A Salvo Control Device To Control A Salvo; And A Ship-To-Air Missile For A Salvo Salvoed In Accordance With Control Of The Salvo Control Device. According To The Ship-To-Air Missile Salvo System For A Next-Generation Naval Ship, If A Ship-To-Air Missile (A) For A Salvo Fired First Hits A First Target, A Continuously Fired Ship-To-Air Missile (B) For A Salvo Is Controlled In Real Time To Set A Second Target To Improve Fighting Strength And Lower The Mortality Rate Of Ship-To-Air Missiles In A Salvo Mode. Moreover, If The Ship-To-Air Missile (A) For A Salvo Fired First Does Not Hit The First Target, The Corresponding Ship-To-Air Missile (A) For A Salvo Fired First Is Also Controlled In Real Time To Set The Second Target To Increase Battle Efficiency In The Salvo Mode. Meanwhile, If The Second Target Is Set, An Overall Sensor System Detection Target Of A Sensor System Detection Target Management System Of A Naval Ship Or A Battle List And Threat Rank Lists Are Referred To Automatically Set The Second Target Of An Enemy With A High Priority To Increase Battle Concentration By Resolving An Emergency Situation.",HANWHA SYSTEMS CO LTD,KR102134584B1,2020/7/16 0:00,KR1020200049262,2020/4/23 0:00,F41G3/04,F41G3/04;F41G7/22;F41G7/34
1949,Fighter Device For Destruction Of Drones,"Field :  Aircraft Engineering.Substance :  Fighter For Destruction Of Drones Comprises A Drone And Surface Guidance System Composed Of Radar. Drone Is Equipped With Video Cameras Of Surveillance,  Up To Four Displacement Transducers And Up To Four Containers Coupled Therewith And Furnished With Hitting Elements Composed Of Cassettes With Cases Filled Needles Provided With Band-Type Parachutes. Said Cases Are Shot From Cassette Along With The Case Incorporating Inertial Fuse To Separate Case To Needle And To Release Band Parachute And Displacement Transducers. Displacement Transducers And Cartridges Coupled Therewith Are Located At Fuselage Top,  Bottom,  Right And Left Sides.Effect :  Higher Probability Of Target Destruction.2 Dwg",Golodjaev Aleksandr Ivanovich; Chistjakov Nikolaj Valer' evich,RU2490585C2,2013/8/20 0:00,RU2012120116,2012/5/15 0:00,F41H11/04,F41H11/04
1950,Method Of Safe Landing Of Armoured Vehicles In Combat Zone,"Field :  Aircraft Engineering.Substance :  Proposed Method Consists In That Drone Is Launched From Landing Ship Before Unshipping Armoured Vehicles And Controlled From Remote Control Station Arranged At Ship Deck. Optical Ir Reconnaissance Hardware Of The Drone And Onboard Radar With Synthesized Aperture Are Used To Locate Enemy Aircraft,  Ships And Submarines And To Transmit Defined Coordinated Via Radio Lines To Remote Control Station And,  Therefrom,  To Friendly Armoured Vehicles And High-Speed Boats To Destroy Enemy Airborne And Water Equipment. Results Of Fire Delivered To The Enemy Are Controlled By Said Drone And Transmitted To Landing Ship Remote Control Station.Effect :  Efficient Combat Actions,  Survivorship Of Landing Ship.1 Dwg",Mitrofanov Dmitrij Gennad' evich,RU2491495C1,2013/8/27 0:00,RU2012122768,2012/6/1 0:00,F41H13/00,F41H13/00
1954,Method For Protection From Terrorists At Water Areas,"Field :  Radio Engineering,  Communication.
    Substance :  Method Involves Using A Non-Lethal Agent Based On A Cs Irritant. A Ship Is Fitted With A System With Both Reconnaissance And Striking Unmanned Aerial Vehicles. The Method Includes,  Upon Detecting A Hazardous Object,  Carrying Out A Warning Fly-By With A Reconnaissance Unmanned Aerial Vehicle Over An Object Classified By The System Operator In Collaboration With Ship Drivers As Safe At The Moment Of Detection,  Carrying Out A Warning Fly-By With The Striking Unmanned Aerial Vehicle Over An Object Classified As Potentially Hazardous,  With Deployment Of An Aerosol Cloud,  Striking,  With The Striking Unmanned Aerial Vehicle,  A Moving Object Classified As Hazardous,  With Deployment Of A Screening Cloud In Front Of The Object,  Which Prevents Hijacking Of The Ship By Suspicious Persons Through Preventive Neutralisation Thereof. The Unmanned Aerial Vehicles Used Can Be A Quadcopter Controlled From An On-Board Mobile Portable Computer Connected To The Glonass System Or Separately From The Glonass System.
    Effect :  High Efficiency Of Fighting Terrorism.
    2 Cl,  2 Dwg",Kochetov Oleg Savel' evich,RU2551604C1,2015/5/27 0:00,RU2014131778,2014/7/31 0:00,F41H9/04,F41H9/04; B63G13/00
